neighbourhood_group,neighbourhood
BUDGET-FRIENDLY,Bang Bon
MID-RANGE,Bang Kapi
BUDGET-FRIENDLY,Bang Khae
MID-RANGE,Bang Khen
BUDGET-FRIENDLY,Bang Kho laen
BUDGET-FRIENDLY,Bang Khun thain
MID-RANGE,Bangkok Noi
MID-RANGE,Bangkok Yai
MID-RANGE,Bang Na
MID-RANGE,Bang Phlat
LUXURY,Bang Rak
MID-RANGE,Bang Sue
MID-RANGE,Bueng Kum
LUXURY,Chatu Chak
BUDGET-FRIENDLY,Chom Thong
BUDGET-FRIENDLY,Din Daeng
BUDGET-FRIENDLY,Don Mueang
LUXURY,Dusit
LUXURY,Huai Khwang
BUDGET-FRIENDLY,Khan Na Yao
BUDGET-FRIENDLY,Khlong Sam Wa
LUXURY,Khlong San
LUXURY,Khlong Toei
BUDGET-FRIENDLY,Lak Si
BUDGET-FRIENDLY,Lat Krabang
LUXURY,Lat Phrao
BUDGET-FRIENDLY,Min Buri
BUDGET-FRIENDLY,Nong Chok
BUDGET-FRIENDLY,Nong Khaem
LUXURY,Parthum Wan
MID-RANGE,Phasi Charoen
LUXURY,Phaya Thai
MID-RANGE,Phra Khanong
LUXURY,Phra Nakhon
LUXURY,Pom Prap Sattru Phai
LUXURY,Pra Wet
MID-RANGE,Rat Burana
LUXURY,Ratchathewi
BUDGET-FRIENDLY,Sai Mai
BUDGET-FRIENDLY,Samphanthawong
BUDGET-FRIENDLY,Saphan Sung
LUXURY,Sathon
MID-RANGE,Suanluang
MID-RANGE,Taling Chan
BUDGET-FRIENDLY,Thawi Watthana
MID-RANGE,Thon buri
BUDGET-FRIENDLY,Thung khru
LUXURY,Vadhana
MID-RANGE,Wang Thong Lang
MID-RANGE,Yan na wa
